sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
MSK-A2-LFH-1	108_S108	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	108_S108_L001_R1_001.fastq.gz	108_S108_L001_R2_001.fastq.gz				
MSK-A1-MIN-1	107_S107	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	107_S107_L001_R1_001.fastq.gz	107_S107_L001_R2_001.fastq.gz				
MSK-A1-LFH-1	106_S106	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	106_S106_L001_R1_001.fastq.gz	106_S106_L001_R2_001.fastq.gz				
MSK-C-LFH-1	104_S104	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	104_S104_L001_R1_001.fastq.gz	104_S104_L001_R2_001.fastq.gz				
MSK-C-MIN-1	105_S105	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	105_S105_L001_R1_001.fastq.gz	105_S105_L001_R2_001.fastq.gz				
PLD-C-LFH-5	102_S102	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	102_S102_L001_R1_001.fastq.gz	102_S102_L001_R2_001.fastq.gz				
PLD-A-LFH-5	103_S103	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	103_S103_L001_R1_001.fastq.gz	103_S103_L001_R2_001.fastq.gz				
PLD-A-LFH-4	101_S101	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	101_S101_L001_R1_001.fastq.gz	101_S101_L001_R2_001.fastq.gz				
PLD-C-LFH-4	100_S100	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	100_S100_L001_R1_001.fastq.gz	100_S100_L001_R2_001.fastq.gz				
ILK-A1-FH-1	Pinkney-Ashnet-ILK-A1-FH-1A_S9	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	Pinkney-Ashnet-ILK-A1-FH-1A_S9_L001_R1_001.fastq.gz	Pinkney-Ashnet-ILK-A1-FH-1A_S9_L001_R2_001.fastq.gz				
ILK-A1-FH-1	Pinkney-Ashnet-ILK-A1-FH-1B_S10	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	Pinkney-Ashnet-ILK-A1-FH-1B_S10_L001_R1_001.fastq.gz	Pinkney-Ashnet-ILK-A1-FH-1B_S10_L001_R2_001.fastq.gz				
ILK-A1-FH-2	Pinkney-Ashnet-ILK-A1-FH-2A_S33	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	Pinkney-Ashnet-ILK-A1-FH-2A_S33_L001_R1_001.fastq.gz	Pinkney-Ashnet-ILK-A1-FH-2A_S33_L001_R2_001.fastq.gz				
ILK-A1-FH-2	Pinkney-Ashnet-ILK-A1-FH-2B_S34	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	Pinkney-Ashnet-ILK-A1-FH-2B_S34_L001_R1_001.fastq.gz	Pinkney-Ashnet-ILK-A1-FH-2B_S34_L001_R2_001.fastq.gz				
ILK-A1-LM-1	Pinkney-Ashnet-ILK-A1-LM-1A_S7	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	Pinkney-Ashnet-ILK-A1-LM-1A_S7_L001_R1_001.fastq.gz	Pinkney-Ashnet-ILK-A1-LM-1A_S7_L001_R2_001.fastq.gz				
ILK-A1-LM-1	Pinkney-Ashnet-ILK-A1-LM-1B_S8	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	Pinkney-Ashnet-ILK-A1-LM-1B_S8_L001_R1_001.fastq.gz	Pinkney-Ashnet-ILK-A1-LM-1B_S8_L001_R2_001.fastq.gz				
ILK-A1-LM-2	Pinkney-Ashnet-ILK-A1-LM-2A_S31	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	Pinkney-Ashnet-ILK-A1-LM-2A_S31_L001_R1_001.fastq.gz	Pinkney-Ashnet-ILK-A1-LM-2A_S31_L001_R2_001.fastq.gz				
ILK-A1-LM-2	Pinkney-Ashnet-ILK-A1-LM-2B_S32	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	Pinkney-Ashnet-ILK-A1-LM-2B_S32_L001_R1_001.fastq.gz	Pinkney-Ashnet-ILK-A1-LM-2B_S32_L001_R2_001.fastq.gz				
ILK-A1-MIN-1	Pinkney-Ashnet-ILK-A1-MIN-1A_S11	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	Pinkney-Ashnet-ILK-A1-MIN-1A_S11_L001_R1_001.fastq.gz	Pinkney-Ashnet-ILK-A1-MIN-1A_S11_L001_R2_001.fastq.gz				
ILK-A1-MIN-1	Pinkney-Ashnet-ILK-A1-MIN-1B_S12	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	Pinkney-Ashnet-ILK-A1-MIN-1B_S12_L001_R1_001.fastq.gz	Pinkney-Ashnet-ILK-A1-MIN-1B_S12_L001_R2_001.fastq.gz				
ILK-A1-MIN-2	Pinkney-Ashnet-ILK-A1-MIN-2A_S35	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	Pinkney-Ashnet-ILK-A1-MIN-2A_S35_L001_R1_001.fastq.gz	Pinkney-Ashnet-ILK-A1-MIN-2A_S35_L001_R2_001.fastq.gz				
ILK-A1-MIN-2	Pinkney-Ashnet-ILK-A1-MIN-2B_S36	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	Pinkney-Ashnet-ILK-A1-MIN-2B_S36_L001_R1_001.fastq.gz	Pinkney-Ashnet-ILK-A1-MIN-2B_S36_L001_R2_001.fastq.gz				
ILK-A2-FH-1	Pinkney-Ashnet-ILK-A2-FH-1A_S15	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	Pinkney-Ashnet-ILK-A2-FH-1A_S15_L001_R1_001.fastq.gz	Pinkney-Ashnet-ILK-A2-FH-1A_S15_L001_R2_001.fastq.gz				
ILK-A2-FH-1	Pinkney-Ashnet-ILK-A2-FH-1B_S16	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	Pinkney-Ashnet-ILK-A2-FH-1B_S16_L001_R1_001.fastq.gz	Pinkney-Ashnet-ILK-A2-FH-1B_S16_L001_R2_001.fastq.gz				
ILK-A2-FH-2	Pinkney-Ashnet-ILK-A2-FH-2A_S39	r-DNA seq of soil microbiome from forest soil amended with wood ash	AMPLICON	METATRANSCRIPTOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	"All soil samples were collected in June or July 2017 Due to logistical constraints, aside from ETM, HLB and ILK where two replicates were sampled from each block, one sample was collected from Each block within each site that was sampled. The fresh litter-moss layer (L), the Fermented-Humic (FH horizons) and upper mineral soil (MIN, 0-10 cm) were sampled separately. When L and FH layers could not be effectively separated during sampling, a pooled sample was taken (LFH). Litter-moss and FH components were sampled from a 15 x 15 cm frame, after which mineral soil was collected in a bleached 5cm diameter PVC pipe to a depth of 20cm. All sampling was completed with gloves to reduce cross-contamination. Samples were immediately frozen at -20?C  after sampling and held at that temperature until analysis. All samples were shipped to the Great Lakes Forestry Centre (Sault Ste. Marie) where soils were homogenized, and subsamples were aseptically taken for enzyme and barcoding analyses. One homogenized sample was taken for each treatment at each block of each site."	fastq	Pinkney-Ashnet-ILK-A2-FH-2A_S39_L001_R1_001.fastq.gz	Pinkney-Ashnet-ILK-A2-FH-2A_S39_L001_R2_001.fastq.gz				
